# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr22	41641614	41652294	-	hsa_circ_0063510	10680	1868	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_002883	RANGAP1	Salzman2013
chr3	52183831	52184003	-	hsa_circ_0065982	172	172	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001161581	POC1A	Salzman2013
chr17	48261456	48265510	-	hsa_circ_0044503	4054	2594	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000088	COL1A1	Salzman2013
chr22	17525762	17539682	+	hsa_circ_0062145	13920	1951	Gm12878	NA	ANNOTATED, ncRNA, OVEXON	NR_015352	CECR7	Salzman2013
chr20	34287231	34288902	+	hsa_circ_0060127	1671	461	Nhek, K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_080748	ROMO1	Salzman2013
chr1	235634163	235659618	-	hsa_circ_0017070	25455	2130	Nhek, K562, H1hesc, Ag04450, A549, Sknshra	SINE	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_152490	B3GALNT2	Salzman2013
chr19	39871226	39873931	+	hsa_circ_0050981	2705	407	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018028	SAMD4B	Salzman2013
chr4	184104555	184114861	+	hsa_circ_0003631	10306	10306	Hs68_RNase, Hs68_control	LINE	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_024949	WWC2	Jeck2013
chr19	44010870	44012212	-	hsa_circ_0051332	1342	301	K562, Huvec, Hmec, Hepg2, Helas3, Gm12878, Bj, Ag04450, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_014297	ETHE1	Salzman2013
chr8	48839753	48840450	-	hsa_circ_0084442	697	280	K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr19	805012	808452	+	hsa_circ_0048108	3440	529	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002819	PTBP1	Salzman2013
chr5	123974474	123980354	-	hsa_circ_0073713	5880	1178	A549	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_020747	ZNF608	Salzman2013
chr1	151317203	151317664	-	hsa_circ_0014152	461	203	Hepg2, Helas3, H1hesc, Ag04450	Simple_repeat	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000449	RFX5	Salzman2013
chr8	74203786	74204145	-	hsa_circ_0084773	359	248	Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000971	RPL7	Salzman2013
chr22	50355089	50357720	+	hsa_circ_0063875	2631	1680	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001001852	PIM3	Salzman2013
chr2	189859771	189864303	+	hsa_circ_0057389	4532	774	Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000090	COL3A1	Salzman2013
chr1	237765324	237994865	+	hsa_circ_0017174	229541	10212	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001035	RYR2	Salzman2013
chr2	37064840	37076768	-	hsa_circ_0054025	11928	11928	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_003162	STRN	Salzman2013
chr1	1192371	1192510	-	hsa_circ_0009247	139	139	K562, Helas3, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_194458	UBE2J2	Salzman2013
chrX	47104768	47107727	+	hsa_circ_0090436	2959	1004	Huvec, Hepg2, Bj, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004651	USP11	Salzman2013
chr8	37734626	37735635	-	hsa_circ_0083947	1009	1009	K562	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_001002814	RAB11FIP1	Salzman2013
chr9	100395704	100431988	+	hsa_circ_0087670	36284	2718	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_002486	NCBP1	Salzman2013
chr2	101622811	101622885	+	hsa_circ_0055881	74	74	K562, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_000993	RPL31	Salzman2013
chr9	140676742	140676849	+	hsa_circ_0089746	107	107	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024757	EHMT1	Salzman2013
chr20	60712419	60716000	-	hsa_circ_0061035	3581	558	Nhek, K562, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002792	PSMA7	Salzman2013
chr1	154228158	154228231	+	hsa_circ_0014400	73	73	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014847	UBAP2L	Salzman2013
chr5	60628099	60817269	+	hsa_circ_0072584	189170	1513	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON	NM_020928	ZSWIM6	Salzman2013
chr17	7480661	7481562	+	hsa_circ_0041931	901	452	Helas3, A549	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_037926	SENP3-EIF4A1	Salzman2013
chr15	65959786	65998562	-	hsa_circ_0035926	38776	3285	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001144823	DENND4A	Salzman2013
chr12	123682793	123707674	-	hsa_circ_0029193	24881	2909	K562, Huvec, Bj	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_022782	MPHOSPH9	Salzman2013
chr4	17597032	17609590	+	hsa_circ_0069262	12558	1075	K562, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_015907	LAP3	Salzman2013
chr20	54956488	54963258	-	hsa_circ_0060949	6770	710	Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_198433	AURKA	Salzman2013
chr15	63951934	63954220	-	hsa_circ_0035730	2286	523	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003922	HERC1	Salzman2013
chr2	173451005	173457776	+	hsa_circ_0057108	6771	225	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002610	PDK1	Salzman2013
chr7	2282559	2290780	+	hsa_circ_0079154	8221	751	Hsmm	LTR	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_198949	NUDT1	Salzman2013
chr20	21330026	21346342	+	hsa_circ_0059603	16316	593	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_012255	XRN2	Salzman2013
chr15	41749869	41767810	+	hsa_circ_0034701	17941	917	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015138	RTF1	Salzman2013
chr17	5253745	5289132	+	hsa_circ_0041682	35387	4394	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004703	RABEP1	Salzman2013
chr7	135290892	135315218	+	hsa_circ_0082526	24326	2236	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015135	NUP205	Salzman2013
chr12	110463546	110467440	+	hsa_circ_0009075	3894	433	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033121	ANKRD13A	Jeck2013
chr1	109808726	109813661	+	hsa_circ_0013424	4935	1685	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001408	CELSR2	Salzman2013
chr14	74975532	74994069	-	hsa_circ_0032582	18537	1158	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000428	LTBP2	Salzman2013
chr15	65992881	65994228	-	hsa_circ_0000619	1347	400	cd_19	None	ANNOTATED, CDS, coding, INTERNAL	NM_001144823	DENND4A	Memczak2013
chr15	59450485	59450578	-	hsa_circ_0035510	93	93	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004998	MYO1E	Salzman2013
chr22	30972611	30983382	-	hsa_circ_0062841	10771	1930	Nhek, Huvec, Hsmm, Helas3, Gm12878	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_036550	PES1	Salzman2013
chr1	174190109	174200493	+	hsa_circ_0015328	10384	404	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014857	RABGAP1L	Salzman2013
chr7	35672269	35709938	-	hsa_circ_0079849	37669	2026	K562, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_022373	HERPUD2	Salzman2013
chr10	22045476	22292650	-	hsa_circ_0017958	247174	2091	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_022365	DNAJC1	Salzman2013
chr19	39090564	39090793	-	hsa_circ_0050867	229	138	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_007181	MAP4K1	Salzman2013
chr18	21461899	21481287	+	hsa_circ_0047233	19388	1089	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_198129	LAMA3	Salzman2013
chr22	24953624	24964144	+	hsa_circ_0062620	10520	337	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_004175	SNRPD3	Salzman2013
chr17	80400462	80402000	-	hsa_circ_0046412	1538	1538	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001193653	C17orf62	Salzman2013
chr9	33464876	33465357	-	hsa_circ_0086668	481	251	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022917	NOL6	Salzman2013
chr17	29562628	29580018	+	hsa_circ_0042922	17390	465	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001042492	NF1	Salzman2013
chr11	71148857	71155261	-	hsa_circ_0023372	6404	865	Huvec, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001360	DHCR7	Salzman2013
chr9	15444599	15461803	+	hsa_circ_0086399	17204	2698	Gm12878	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001039697	SNAPC3	Salzman2013
chr8	17808123	17810695	+	hsa_circ_0083455	2572	327	Nhek, K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006197	PCM1	Salzman2013
chr2	32142994	32168452	-	hsa_circ_0053394	25458	376	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015955	MEMO1	Salzman2013
chr2	162036124	162061304	+	hsa_circ_0005227	25180	376	Hs68_RNase, Hs68_control, K562, Gm12878, Bj, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_004180	TANK	Jeck2013, Salzman2013
chr11	64620207	64641990	-	hsa_circ_0022722	21783	2798	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_006795	EHD1	Salzman2013
chr1	118429198	118461358	-	hsa_circ_0013752	32160	931	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017686	GDAP2	Salzman2013
chr16	14645877	14648008	-	hsa_circ_0037954	2131	162	K562, Helas3, Gm12878, Bj, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002582	PARN	Salzman2013
chr3	51474985	51505021	-	hsa_circ_0065911	30036	1018	K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014703	VPRBP	Salzman2013
chr21	47518032	47531505	+	hsa_circ_0062048	13473	197	Nhlf	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_058175	COL6A2	Salzman2013
chr19	49376481	49379319	+	hsa_circ_0051785	2838	2123	Nhek, Huvec, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_014330	PPP1R15A	Salzman2013
chr7	134133138	134133245	-	hsa_circ_0082472	107	107	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001628	AKR1B1	Salzman2013
chr12	62930930	62932285	+	hsa_circ_0027370	1355	464	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015026	MON2	Salzman2013
chr7	70227855	70236630	+	hsa_circ_0080420	8775	1088	Nhek, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015570	AUTS2	Salzman2013
chr2	175664041	175677210	-	hsa_circ_0057138	13169	1470	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001822	CHN1	Salzman2013
chr20	60498508	60509278	+	hsa_circ_0061021	10770	1170	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001794	CDH4	Salzman2013
chr19	28927822	29213687	-	hsa_circ_0050324	285865	1254	K562	NA	ANNOTATED, INTERNAL, ncRNA, OVERLAPTX, OVEXON	TCONS_l2_00013371	TCONS_l2_00013371	Salzman2013
chr17	56409123	56409324	-	hsa_circ_0000792	201	201	cd_34	None	ANTISENSE, INTERNAL, intronic, ncRNA	NR_038411	LOC100506779	Memczak2013
chr18	55352303	55371900	-	hsa_circ_0047783	19597	1194	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005603	ATP8B1	Salzman2013
chr10	99218556	99236501	-	hsa_circ_0019350	17945	2443	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_022362	MMS19	Salzman2013
chr2	219433677	219458999	+	hsa_circ_0058270	25322	900	Nhek, K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON	NM_005444	RQCD1	Salzman2013
chr1	26751793	26756219	+	hsa_circ_0010992	4426	3672	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_024674	LIN28A	Salzman2013
chr4	107114765	107115911	-	hsa_circ_0070589	1146	199	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001163435	TBCK	Salzman2013
chrX	152137925	152138028	+	hsa_circ_0091735	103	103	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001178106	ZNF185	Salzman2013
chr17	4840425	4843462	-	hsa_circ_0041615	3037	1812	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_003562	SLC25A11	Salzman2013
chr16	28855550	28856801	-	hsa_circ_0038867	1251	675	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003321	TUFM	Salzman2013
chr1	181546901	181549912	+	hsa_circ_0015537	3011	439	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001205293	CACNA1E	Salzman2013
chr19	6677845	6690738	-	hsa_circ_0048859	12893	1649	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000064	C3	Salzman2013
chr11	1773981	1776258	-	hsa_circ_0020771	2277	1286	Helas3, Nhek, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001909	CTSD	Salzman2013
chr12	118650718	118651915	-	hsa_circ_0028665	1197	176	K562, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016281	TAOK3	Salzman2013
chr5	80064653	80088663	+	hsa_circ_0073178	24010	571	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002439	MSH3	Salzman2013
chr12	69210591	69210725	+	hsa_circ_0027490	134	134	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002392	MDM2	Salzman2013
chr4	79158663	79176529	+	hsa_circ_0070098	17866	495	Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025074	FRAS1	Salzman2013
chr20	34243123	34246936	-	hsa_circ_0005587	3813	228	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	None	ALT_ACCEPTOR, INTERNAL, intronic, ncRNA, OVCODE, OVEXON	NR_037188	CPNE1	Jeck2013, Salzman2013
chr8	103341317	103341428	-	hsa_circ_0085256	111	111	Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015902	UBR5	Salzman2013
chr7	105097000	105105861	-	hsa_circ_0081836	8861	1697	K562, A549	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	NM_019042	PUS7	Salzman2013
chr10	70178790	70229920	-	hsa_circ_0018511	51130	2893	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001080449	DNA2	Salzman2013
chr2	48541794	48589846	+	hsa_circ_0054503	48052	1018	K562	Low_complexity	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_002158	FOXN2	Salzman2013
chr2	45704131	45801862	-	hsa_circ_0054421	97731	977	K562, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018079	SRBD1	Salzman2013
chr2	89340372	89340377	-	hsa_circ_0055577	5	5	Nhek, K562, Huvec, Hsmm, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	NA	INTERGENIC	None	None	Salzman2013
chr12	66909398	66990707	-	hsa_circ_0027451	81309	669	Nhek, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_021150	GRIP1	Salzman2013
chr19	39063816	39068688	+	hsa_circ_0050846	4872	305	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_000540	RYR1	Salzman2013
chr19	55652250	55652670	-	hsa_circ_0052189	420	195	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003283	TNNT1	Salzman2013
chr18	742917	746051	-	hsa_circ_0046697	3134	590	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005433	YES1	Salzman2013
chrX	118717089	118718379	+	hsa_circ_0091411	1290	1290	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_181777	UBE2A	Salzman2013
chr2	171819348	171823643	+	hsa_circ_0057020	4295	1452	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_015530	GORASP2	Salzman2013
chr1	32658257	32663886	+	hsa_circ_0011364	5629	3648	Nhek, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_175852	TXLNA	Salzman2013
chr22	32097641	32097748	-	hsa_circ_0062933	107	107	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_173566	PRR14L	Salzman2013
chr12	6703624	6709561	-	hsa_circ_0025223	5937	1250	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001273	CHD4	Salzman2013
chr3	44970797	44975476	-	hsa_circ_0002962	4679	394	Hs68_RNase, Hs68_control, Nhek, K562, Helas3, H1hesc, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016598	ZDHHC3	Jeck2013, Salzman2013
chr11	35240862	35243279	+	hsa_circ_0021744	2417	151	Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000610	CD44	Salzman2013
chr17	41854902	41855024	-	hsa_circ_0000772	122	122	cd_19	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_004090	DUSP3	Memczak2013
chr11	65835416	65836382	+	hsa_circ_0022933	966	524	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_006842	SF3B2	Salzman2013
chr1	117618801	117622271	+	hsa_circ_0013717	3470	508	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003594	TTF2	Salzman2013
chr5	95220801	95224691	-	hsa_circ_0073454	3890	3890	Ag04450, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_012081	ELL2	Salzman2013
chr19	41088256	41089623	+	hsa_circ_0051106	1367	321	Gm12878, A549, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_138392	SHKBP1	Salzman2013
chr1	121115831	121116815	+	hsa_circ_0005012	984	984	Hs68_RNase, Hs68_control	None	INTERGENIC	None	None	Jeck2013
chr1	12252919	12269277	+	hsa_circ_0009945	16358	3035	K562, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001066	TNFRSF1B	Salzman2013
chr1	22172600	22191858	-	hsa_circ_0010682	19258	4150	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005529	HSPG2	Salzman2013
chr3	49158546	49167852	-	hsa_circ_0065591	9306	4473	Nhlf	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_002292	LAMB2	Salzman2013
chr1	210573811	210797014	+	hsa_circ_0016338	223203	1117	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018194	HHAT	Salzman2013
chr15	63615729	63638908	-	hsa_circ_0035638	23179	3713	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001218	CA12	Salzman2013
chr11	62518434	62521187	-	hsa_circ_0022514	2753	2753	K562, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_024784	ZBTB3	Salzman2013
chr7	45927958	45933267	+	hsa_circ_0080126	5309	1650	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_000596	IGFBP1	Salzman2013
chr5	57751365	57754919	-	hsa_circ_0072555	3554	1355	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006622	PLK2	Salzman2013
chr2	58390568	58393009	-	hsa_circ_0054668	2441	235	H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001114636	FANCL	Salzman2013
chr6	108243000	108250718	-	hsa_circ_0001635	7718	328	cd_19, neutr, Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007214	SEC63	Jeck2013, Memczak2013
chr20	25612793	25612924	+	hsa_circ_0059683	131	131	Bj	NA	INTERGENIC	None	None	Salzman2013
chr11	116655570	116658739	-	hsa_circ_0024352	3169	853	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_003904	ZNF259	Salzman2013
chr6	111880142	111927474	-	hsa_circ_0077663	47332	2778	K562, H1hesc	NA	ANNOTATED, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_028338	TRAF3IP2	Salzman2013
chr5	82832825	82850857	+	hsa_circ_0073239	18032	5732	H1hesc, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004385	VCAN	Salzman2013
chr3	14486245	14489324	+	hsa_circ_0064427	3079	1349	Gm12878	DNA	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_003043	SLC6A6	Salzman2013
chr2	106761645	106780166	-	hsa_circ_0055950	18521	286	K562, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025076	UXS1	Salzman2013
chr6	42604748	42610219	+	hsa_circ_0076378	5471	423	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015255	UBR2	Salzman2013
chr6	26197011	26199464	-	hsa_circ_0075886	2453	864	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_003530	HIST1H3D	Salzman2013
chr9	139995456	139996695	+	hsa_circ_0089634	1239	909	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_016219	MAN1B1	Salzman2013
chr5	80363850	80404897	+	hsa_circ_0073184	41047	1443	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_006909	RASGRF2	Salzman2013
chr17	37358569	37360980	+	hsa_circ_0043398	2411	558	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_000981	RPL19	Salzman2013
chr1	143220633	143254004	+	hsa_circ_0013810	33371	32886	K562, Hsmm, Sknshra, Mcf7	SINE	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVERLAPTX, OVEXON, upstream_start	TCONS_00001137	TCONS_00001137	Salzman2013
chr3	122808014	122865106	+	hsa_circ_0067018	57092	1100	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006810	PDIA5	Salzman2013
chr15	60741046	60748993	-	hsa_circ_0035573	7947	1591	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024611	NARG2	Salzman2013
chr1	19483260	19486775	-	hsa_circ_0010330	3515	513	Bj, Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020765	UBR4	Salzman2013
chr19	51300960	51302215	-	hsa_circ_0052029	1255	1255	K562, Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_199249	C19orf48	Salzman2013
chr15	39879547	39880419	+	hsa_circ_0034473	872	351	Nhek, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003246	THBS1	Salzman2013
