smiles,dose,freq,treatment_time,target_binding,immune_activation,immune_cell_activation,inflammation_risk,toxicity_risk,efficacy
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,551.985,0.0343,3852.2,0.9486,0.2909,0.2274,0.0367,0.0188,0.8094
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.094,1.0779,4183.9,1.0,0.147,0.1984,0.0851,0.0938,0.6967
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,200.847,0.3215,2448.7,0.9062,0.7573,0.7086,0.2354,0.1946,0.7577
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,214.172,0.313,1861.4,0.9731,0.6944,0.527,0.245,0.148,0.8389
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,2523.736,1.0542,3260.0,0.8904,0.4184,0.3807,0.4588,0.2226,0.9251
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,62.247,0.3168,1594.7,0.8663,0.4921,0.5052,0.1176,0.3071,0.6534
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,20.719,1.0184,4651.9,0.9329,0.2266,0.1425,0.0692,0.0445,0.72
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,287.394,0.2991,1669.0,0.1286,0.5921,0.5879,0.0816,0.1369,0.4135
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,309.84,0.3295,1457.4,0.1185,0.4599,0.3979,0.0766,0.138,0.3779
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,207.71,0.3362,1352.2,0.7682,0.5625,0.4275,0.2818,0.4298,0.6566
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,118.754,0.7559,2541.1,0.9284,0.3712,0.3064,0.0486,0.2516,0.7594
O=C1OC2NC(=O)NC2C1O.[Pt],285.006,0.3601,1390.2,0.3091,0.4132,0.4088,0.066,0.0924,0.4575
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,230.606,0.0331,3801.5,0.9196,0.2973,0.2601,0.0107,0.029,0.8191
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,30.241,1.0337,1292.7,0.8604,0.3652,0.353,0.1101,0.235,0.6371
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,328.14,0.8089,2921.3,0.8881,0.3466,0.2957,0.0421,0.1506,0.8683
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,143.538,0.7168,3283.2,0.8825,0.4536,0.5461,0.0893,0.273,0.8165
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.184,1.0444,4861.5,1.0,0.1809,0.2166,0.0791,0.0788,0.6434
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,196.643,1.0359,1546.0,0.5809,0.5976,0.6002,0.198,0.4402,0.6452
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,93.315,0.3401,1534.4,0.7612,0.3581,0.3322,0.1506,0.237,0.5608
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,61.556,0.3062,1418.2,0.8369,0.4989,0.386,0.1847,0.3023,0.6179
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,2505.393,0.9754,3132.6,0.9138,0.3197,0.3356,0.4673,0.2004,0.8558
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,472.113,0.0349,3939.3,0.9448,0.243,0.3459,0.0216,0.0,0.7753
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,564.06,0.9348,2575.4,0.8801,0.3472,0.2141,0.088,0.054,0.8577
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,584.234,0.7283,1467.4,0.938,0.4237,0.3857,0.0122,0.0849,0.8058
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,3.078,0.7069,1639.8,0.9715,0.3913,0.3295,0.2439,0.2957,0.5823
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,94.374,0.326,1367.0,0.9503,0.4069,0.2992,0.1744,0.2846,0.7314
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,176.136,0.31,2124.8,0.9472,0.6571,0.5194,0.2591,0.1295,0.7203
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.044,0.9154,3905.1,0.9581,0.4004,0.3107,0.1224,0.2294,0.6859
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1314.238,0.9305,2511.1,0.9539,0.6976,0.5426,0.3849,0.1175,0.8667
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,362.797,0.3088,2360.4,0.878,0.613,0.388,0.4231,0.2718,0.7903
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,418.713,0.0333,4098.5,0.9658,0.2189,0.3022,0.0603,0.0104,0.784
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,302.716,2.1968,2610.6,0.9266,0.4988,0.478,0.1534,0.0668,0.8715
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,45.335,0.3223,1500.4,0.9451,0.4829,0.5092,0.116,0.133,0.6724
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2145.893,1.8317,3275.0,0.5254,0.3869,0.3124,0.2256,0.1325,0.7382
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,106.132,0.772,2746.8,0.9304,0.3033,0.2241,0.0399,0.265,0.8547
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,0.906,0.986,4232.5,0.9969,0.2571,0.2051,0.0621,0.0259,0.6697
O=C1OC2NC(=O)NC2C1O.[Pt],554.962,0.3129,1404.3,0.2384,0.4915,0.5228,0.0919,0.1604,0.4869
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,125.423,0.3191,1290.8,0.8154,0.4861,0.3981,0.3,0.6203,0.7906
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.478,0.7138,1555.9,0.9175,0.4104,0.4403,0.1181,0.1487,0.6258
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,277.542,0.9383,3305.4,0.8977,0.4594,0.4175,0.403,0.2081,0.8387
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1184.312,0.6073,1477.4,0.916,0.3161,0.3208,0.0768,0.163,0.7802
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,1.231,0.9103,4543.3,0.9638,0.2172,0.142,0.0852,0.0586,0.7066
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,105.098,0.3313,1647.2,0.9441,0.459,0.5156,0.2316,0.2605,0.7284
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,61.306,0.3116,1593.8,0.8226,0.4831,0.5507,0.211,0.3281,0.7314
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,94.554,0.3037,1364.4,0.7469,0.4211,0.4099,0.1477,0.2132,0.6688
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,330.403,0.3587,1287.0,0.9246,0.362,0.4523,0.1853,0.4397,0.7296
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,645.541,1.0063,3015.3,0.9591,0.3801,0.2917,0.1128,0.0567,0.8424
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,282.131,1.8477,2558.9,0.9174,0.4958,0.4372,0.0983,0.0572,0.8673
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,41.263,0.9837,4675.5,0.5879,0.1976,0.1675,0.0491,0.0394,0.591
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,114.91,0.3368,1365.2,0.9586,0.3794,0.3791,0.186,0.2787,0.7291
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,4.61,0.9511,3071.1,0.9751,0.5128,0.5743,0.1465,0.0815,0.62
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,65.822,0.3133,1358.2,0.7772,0.397,0.2956,0.2161,0.2953,0.6301
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,571.936,0.0337,4161.9,0.9496,0.2114,0.1051,0.0396,0.0592,0.8198
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,124.608,0.3287,1385.4,0.8151,0.4506,0.5096,0.3094,0.591,0.6754
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,94.621,0.3349,1547.9,0.9222,0.4226,0.3952,0.1006,0.1131,0.7681
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.868,1.0593,4009.9,0.9845,0.1903,0.0998,0.1268,0.1234,0.7413
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,180.416,0.3371,1618.5,0.7901,0.4615,0.4981,0.2102,0.4346,0.6705
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,2.576,0.6567,1731.5,0.9672,0.4241,0.4051,0.1862,0.2932,0.5598
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,653.712,0.3307,1608.6,0.1071,0.3841,0.2978,0.1497,0.2264,0.4697
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,11.987,1.0869,2823.5,0.9744,0.5814,0.4074,0.3422,0.1411,0.681
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,456.72,0.0325,4092.4,0.9631,0.1949,0.2681,0.0642,0.0412,0.8924
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,26.973,1.0914,4433.4,1.0,0.1628,0.0518,0.0402,0.0621,0.7866
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,174.15,0.3395,2349.5,0.8928,0.9122,0.7103,0.2671,0.1402,0.7692
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,195.711,0.3261,1937.9,0.9396,0.7249,0.6145,0.2586,0.1591,0.7802
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,73.841,1.8947,3226.5,0.955,0.4245,0.3429,0.1217,0.0758,0.7951
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,68.116,0.7742,3129.7,0.8635,0.4599,0.4601,0.0463,0.1198,0.8131
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,250.195,0.9524,2581.0,0.9577,0.4317,0.4948,0.3292,0.1962,0.8262
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,19.927,0.9401,3163.5,0.9407,0.4014,0.3903,0.4818,0.291,0.7033
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,86.96,0.3212,1357.1,0.7526,0.3544,0.2728,0.1698,0.2537,0.6935
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.866,1.0034,4915.3,0.9593,0.4121,0.3155,0.0765,0.2189,0.6961
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,28.25,0.3506,1699.8,0.8106,0.4378,0.4769,0.0739,0.1622,0.5056
N.N.[Pt]=O,60.122,0.2983,1394.3,0.3467,0.4473,0.3119,0.1807,0.2626,0.3463
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,21.662,1.0368,2717.8,0.9726,0.4148,0.3412,0.4432,0.2914,0.8079
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.029,1.0915,4594.5,1.0,0.6196,0.5924,0.0352,0.2085,0.6464
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,45.836,0.9218,1560.4,0.5536,0.5483,0.4627,0.0108,0.1116,0.5002
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,604.229,2.0243,3964.1,0.97,0.3786,0.2626,0.1243,0.3785,0.9758
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2193.083,1.8662,2954.6,0.4674,0.3644,0.3211,0.2136,0.1297,0.7213
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2647.889,2.0862,2564.0,0.5031,0.4317,0.3166,0.2188,0.1708,0.692
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.291,0.6513,1595.1,0.9851,0.3918,0.341,0.1922,0.147,0.5699
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,142.478,0.6763,2595.2,0.929,0.5585,0.4981,0.0686,0.2869,0.8143
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,300.406,0.6785,2560.3,0.9073,0.3933,0.4579,0.0338,0.1009,0.8123
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,28.906,0.9355,1255.3,0.8768,0.3555,0.273,0.1048,0.221,0.6353
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,237.294,0.3099,1986.8,0.9801,0.7379,0.5488,0.2364,0.1253,0.7368
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,254.218,2.0001,2753.4,0.9646,0.3506,0.3422,0.1883,0.0699,0.9083
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1032.592,0.6462,1691.9,0.9153,0.4926,0.4809,0.1314,0.1747,0.7605
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,504.154,0.0319,4737.0,0.9524,0.2231,0.1659,0.0924,0.0146,0.7435
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,236.327,1.0239,8011.1,0.7879,0.6172,0.5664,0.3825,0.1699,0.8034
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,117.007,0.7277,2741.9,0.8809,0.3915,0.3436,0.0884,0.2409,0.794
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,573.491,0.3027,1665.6,0.146,0.3791,0.3199,0.1634,0.2453,0.4061
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,209.232,1.0071,8568.9,0.7841,0.4615,0.402,0.3887,0.2355,0.8401
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,272.654,2.132,3279.0,0.966,0.3524,0.2695,0.3092,0.3868,0.9316
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,145.291,2.1893,2865.6,0.9439,0.2528,0.2244,0.1056,0.0694,0.9166
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,317.874,0.9859,2815.9,0.9306,0.434,0.3423,0.3868,0.2348,0.8453
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.473,0.7162,1536.0,0.9996,0.5173,0.4558,0.0968,0.1774,0.5338
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,32.656,1.0914,1214.4,0.9006,0.4884,0.3678,0.0744,0.1893,0.5827
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,271.143,0.0334,4584.9,0.9235,0.2433,0.3337,0.0729,0.0124,0.8125
O=C1OC2NC(=O)NC2C1O.[Pt],575.669,0.3152,1296.9,0.3,0.3993,0.4639,0.1113,0.1799,0.4971
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,568.386,0.9907,3128.1,0.9777,0.3923,0.4329,0.1105,0.0425,0.8722
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,313.66,2.0695,3712.8,0.8938,0.3988,0.4263,0.0394,0.1564,0.9196
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,574.242,0.7188,1310.4,0.9382,0.5012,0.3464,0.0122,0.1062,0.8021
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,60.236,0.8038,2541.0,0.9041,0.4212,0.3827,0.0,0.1089,0.708
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,233.651,0.0363,3754.5,0.9663,0.0864,0.1,0.0043,0.0409,0.8298
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,88.102,0.3153,1298.9,0.9514,0.4259,0.4452,0.0699,0.0829,0.6639
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,186.15,0.3259,2314.2,0.8852,0.8629,0.7052,0.2619,0.1405,0.7354
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,24.673,1.0229,4251.7,0.9828,0.1911,0.1525,0.0669,0.0666,0.6579
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,312.807,1.8465,2618.8,0.9288,0.3569,0.2672,0.1329,0.0641,0.9501
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,5.421,1.0317,2611.7,0.9991,0.2633,0.2265,0.1687,0.0538,0.6176
O=C1OC2NC(=O)NC2C1O.[Pt],619.952,0.3151,1534.8,0.3211,0.4308,0.405,0.1034,0.1915,0.529
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.563,1.0511,4005.6,0.9716,0.2575,0.2298,0.1635,0.0957,0.7102
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,277.73,2.184,2502.2,0.9135,0.356,0.2282,0.3073,0.3459,0.9146
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,22.621,1.0263,4654.5,0.5431,0.2473,0.2807,0.066,0.01,0.5652
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,227.966,0.9188,9001.8,0.7693,0.4438,0.4664,0.3486,0.1976,0.8384
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,1035.204,0.0319,4509.8,0.9733,0.193,0.1505,0.0878,0.0453,0.8727
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,628.074,0.301,1582.5,0.1229,0.4205,0.3308,0.1626,0.2262,0.4486
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,27.257,0.9137,4568.6,0.9958,0.1513,0.1527,0.0745,0.0173,0.731
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,181.737,0.3144,1370.4,0.9485,0.5115,0.4979,0.1537,0.2221,0.7113
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,2.728,0.6932,1580.3,0.9684,0.4188,0.435,0.159,0.3314,0.5163
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,353.378,0.3135,1490.6,0.9577,0.2763,0.1908,0.2477,0.4109,0.7433
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,29.441,1.001,3976.4,0.9489,0.2341,0.1914,0.0613,0.0431,0.7784
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,46.365,0.964,4149.4,1.0,0.1574,0.186,0.1402,0.0967,0.7953
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,1157.094,0.7497,3153.3,0.901,0.3517,0.2663,0.1243,0.5982,0.7995
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,712.554,0.3266,1305.4,0.0987,0.4643,0.3611,0.1043,0.2487,0.4391
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.438,0.6859,1671.3,0.9131,0.3126,0.299,0.1519,0.1563,0.6346
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,345.712,1.9589,2658.6,0.9113,0.3574,0.351,0.1227,0.0907,0.9063
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,179.363,0.3401,1579.5,0.9481,0.3226,0.2613,0.1242,0.2004,0.7969
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,11.779,1.0639,4318.2,0.9833,0.3234,0.2915,0.0329,0.0133,0.6896
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1136.683,0.6069,1434.6,0.9313,0.4194,0.3112,0.0852,0.2016,0.8404
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,29.721,1.0416,4463.2,1.0,0.209,0.1039,0.0884,0.0331,0.7643
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,91.078,0.3022,1629.0,0.8758,0.4361,0.3173,0.07,0.094,0.6581
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,562.803,0.7817,2553.4,0.8785,0.351,0.2101,0.1186,0.2959,0.8337
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,123.214,1.0113,9874.7,0.7811,0.2635,0.2794,0.2166,0.1083,0.8555
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,528.634,0.034,4022.5,1.0,0.1928,0.2729,0.1051,0.0108,0.8696
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1042.71,0.9252,3104.9,0.9409,0.4712,0.4208,0.2755,0.1121,0.8911
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,231.995,1.0783,8166.1,0.7851,0.3456,0.2592,0.4355,0.225,0.8349
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,199.457,0.3583,1400.8,0.9244,0.529,0.4352,0.0712,0.2357,0.7425
N.N.[Pt]=O,143.79,0.3388,1299.4,0.4431,0.4817,0.4785,0.2862,0.5101,0.511
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,191.879,1.0339,1419.0,0.551,0.4081,0.3163,0.1162,0.4256,0.663
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,285.527,1.043,8770.3,0.7365,0.4117,0.4071,0.3962,0.1982,0.8446
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,641.652,1.9983,3307.4,0.9091,0.3804,0.3952,0.2327,0.1686,0.982
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,4524.05,2.0006,3080.8,0.4949,0.4361,0.2465,0.4189,0.2634,0.6765
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,110.278,0.7137,2757.7,0.9052,0.449,0.3176,0.0867,0.2224,0.7386
